precinct_code,DEM J. Shahan Andrew,Total Votes Cast,Overvotes,Undervotes,Contest Total,Harshbarger REP Kent E.
DAY 11-C,299,268,0,165,433,268
DAY 11-D,337,415,0,179,594,415
DAY 11-E,263,284,0,181,465,284
DAY 12-A,439,414,0,277,691,414
DAY 12-B,312,204,0,254,458,204
DAY 12-C,348,346,0,185,531,346
DAY 12-D,242,242,0,163,405,242
DAY 13-A,362,139,0,287,426,139
DAY 13-B,227,101,0,166,267,101
DAY 14-A,437,192,0,322,514,192
DAY 14-B,178,76,0,129,205,76
DAY 14-C,250,100,0,202,302,100
DAY 14-D,501,204,0,355,559,204
DAY 15-A,403,187,0,286,473,187
DAY 15-B,472,169,0,367,536,169
DAY 15-C,330,113,0,266,379,113
DAY 15-D,382,141,0,307,448,141
DAY 16-A,389,155,0,299,454,155
DAY 16-B,308,128,0,222,350,128
DAY 16-C,337,145,0,254,399,145
DAY 16-D,660,274,0,478,752,274
DAY 16-E,396,167,0,284,451,167
DAY 17-A,280,154,0,193,347,154
DAY 17-B,366,208,0,258,466,208
DAY 17-C,420,200,0,295,495,200
DAY 17-D,257,130,0,183,313,130
DAY 18-A,281,130,0,207,337,130
DAY 18-B,465,249,0,322,571,249
DAY 18-C,337,163,0,252,415,163
DAY 18-D,324,193,0,214,407,193
DAY 19-A,179,66,0,136,202,66
DAY 19-B,439,174,0,319,493,174
DAY 19-C,340,133,0,259,392,133
DAY 20-A,453,521,0,292,813,521
DAY 20-B,485,551,0,323,874,551
DAY 20-C,327,401,0,172,573,401
DAY 20-D,320,426,0,194,620,426
DAY 21-A,321,151,0,223,374,151
DAY 21-B,328,132,0,240,372,132
DAY 21-C,499,174,0,399,573,174
DAY 22-A,616,285,0,435,720,285
DAY 22-B,472,208,0,348,556,208
DAY 22-C,712,301,0,511,812,301
DAY 23-A,409,246,0,310,556,246
ENG-A,558,506,0,327,833,506
ENG-B,458,529,0,246,775,529
ENG-C,490,476,0,261,737,476
ENG-D,539,639,0,246,885,639
ENG-E,574,527,0,325,852,527
ENG-F,390,486,0,212,698,486
ENG-G,527,568,0,249,817,568
ENG-H,402,424,0,205,629,424
ENG-I,384,384,0,202,586,384
ENG-J,491,447,0,268,715,447
FARM,251,436,0,121,557,436
GERTWP-A,399,769,0,208,977,769
GERTWP-B,406,743,0,208,951,743
GTN-A,390,572,0,228,800,572
GTN-B,364,565,0,182,747,565
GTN-C,373,581,0,188,769,581
GTN-D,385,640,0,192,832,640
HARTWP-A,222,327,0,106,433,327
HARTWP-B,289,393,0,147,540,393
HARTWP-C,311,400,0,165,565,400
HARTWP-D,583,433,0,365,798,433
HARTWP-E,198,253,0,90,343,253
HARTWP-F,270,151,0,170,321,151
HARTWP-G,440,249,0,296,545,249
HARTWP-H,487,239,0,343,582,239
HARTWP-I,434,274,0,272,546,274
HARTWP-J,446,206,0,329,535,206
HARTWP-K,427,269,0,262,531,269
HARTWP-L,584,399,0,363,762,399
HARTWP-M,728,346,0,508,854,346
HARTWP-N,286,377,0,128,505,377
HARTWP-O,608,330,0,415,745,330
HUB 1-A,436,562,0,254,816,562
HUB 1-B,623,646,0,325,971,646
HUB 1-C,500,430,0,306,736,430
HUB 1-D,550,603,0,301,904,603
HUB 2-A,512,575,0,257,832,575
HUB 2-B,507,601,0,284,885,601
HUB 3-A,363,442,0,188,630,442
HUB 3-B,428,364,0,216,580,364
HUB 3-C,345,402,0,188,590,402
HUB 3-D,499,625,0,221,846,625
HUB 3-E,408,414,0,236,650,414
HUB 4-A,479,547,0,257,804,547
HUB 4-B,436,505,0,250,755,505
HUB 4-C,524,564,0,273,837,564
HUB 4-D,545,529,0,267,796,529
HUB 5-A,476,534,0,210,744,534
HUB 5-B,475,509,0,237,746,509
HUB 5-C,449,510,0,239,749,510
HUB 5-D,483,540,0,231,771,540
HUB 6-A,391,434,0,204,638,434
HUB 6-B,487,602,0,263,865,602
HUB 6-C,481,544,0,264,808,544
HUB 6-D,429,572,0,189,761,572
JAKTWP-A,400,745,0,214,959,745
JAKTWP-B,247,535,0,137,672,535
JEFTWP-A,566,535,0,404,939,535
JEFTWP-B,393,287,0,263,550,287
JEFTWP-C,360,456,0,238,694,456
JEFTWP-D,597,251,0,432,683,251
JNLB-A,209,362,0,117,479,362
JNLB-B,337,582,0,165,747,582
KT 1-A,437,406,0,251,657,406
KT 1-B,337,459,0,193,652,459
KT 1-C,485,576,0,298,874,576
KT 1-D,514,549,0,294,843,549
KT 1-E,393,440,0,242,682,440
KT 1-F,383,443,0,224,667,443
KT 1-G,386,453,0,256,709,453
KT 1-H,544,586,0,326,912,586
KT 1-I,474,539,0,244,783,539
KT 2-A,433,489,0,277,766,489
