precinct_code,Voters Registered - Total,Ballots Cast Total -,Ballots Blank Cast -,Voter Turnout Total -
MOR 3-A,820,527,1,0.6426999999999999
MOR 4-A,694,467,4,0.6729
MOR 4-B,756,384,8,0.5079
OAK-A,1049,833,7,0.7940999999999999
OAK-B,977,827,3,0.8465
OAK-C,859,681,3,0.7928000000000001
OAK-D,873,684,5,0.7835
OAK-E,888,702,2,0.7905
OAK-F,1099,869,3,0.7907
OAK-G,928,754,2,0.8125
OAK-H,772,610,3,0.7902
PERTWP-A,692,598,2,0.8642
PERTWP-B,799,653,0,0.8173
PERTWP-C,921,768,1,0.8339
PHBG,337,237,0,0.7033
PM,1142,527,7,0.46149999999999997
PNLB,799,531,7,0.6646
RV-A,831,670,4,0.8062999999999999
RV-B,833,560,7,0.6723
RV-C,1215,708,4,0.5827
RV-D,925,728,8,0.787
RV-E,1071,620,5,0.5789
RV-F,814,601,6,0.7383
RV-G,717,539,7,0.7517
RV-H,644,362,2,0.5621
RV-I,736,526,0,0.7147
RV-J,717,512,6,0.7141
RV-K,848,691,1,0.8149
RV-L,678,421,5,0.6209
RV-M,991,716,7,0.7225
RV-N,937,522,7,0.5571
RV-O,962,717,13,0.7453
RV-P,1036,757,4,0.7306999999999999
TR 1-A,1050,734,6,0.6990000000000001
TR 1-B,614,406,4,0.6612
TR 1-C,816,535,6,0.6556000000000001
TR 1-D,847,440,6,0.5195000000000001
TR 1-E,1098,731,3,0.6658
TR 2-A,1014,612,4,0.6036
TR 2-B,1207,709,4,0.5874
TR 2-C,932,519,6,0.5569
TR 2-D,624,431,4,0.6907
TR 2-E,694,506,1,0.7291
TR 3-A,749,472,5,0.6302
TR 3-B,883,610,5,0.6908
TR 3-C,902,470,3,0.5211
TR 3-D,1103,683,3,0.6192
TR 4-A,1071,670,6,0.6256
TR 4-B,1153,563,4,0.48829999999999996
TR 4-C,849,449,3,0.5289
TR 4-D,709,470,3,0.6629
UN-A,651,479,5,0.7358
UN-B,937,717,1,0.7652
UN-C,1006,798,4,0.7931999999999999
UN-D,1082,844,3,0.78
UN-E,1182,827,5,0.6997
VD-A,1077,716,2,0.6648000000000001
VD-B,625,445,1,0.7120000000000001
VD-C,1088,838,2,0.7702
VD-D,966,741,4,0.7670999999999999
VD-E,754,550,3,0.7293999999999999
VD-F,1151,850,2,0.7384999999999999
VD-G,826,663,1,0.8027
VD-H,1087,905,3,0.8326
VD-I,961,754,1,0.7846
VD-J,1171,952,2,0.813
VD-K,1165,878,9,0.7536
WASTWP-A,914,778,1,0.8512000000000001
WASTWP-B,1272,1086,1,0.8538
WASTWP-C,1070,895,4,0.8364
WASTWP-D,792,657,1,0.8295
WASTWP-E,1132,920,1,0.8127
WASTWP-F,704,601,1,0.8537
WASTWP-G,1207,1000,4,0.8284999999999999
WASTWP-H,944,809,1,0.857
WASTWP-I,932,673,3,0.7221
WASTWP-J,1201,868,4,0.7227
WASTWP-K,1018,819,0,0.8045
WASTWP-L,1012,728,4,0.7193999999999999
WASTWP-M,1115,937,4,0.8404
WASTWP-N,1128,844,2,0.7482
WASTWP-O,1152,881,3,0.7648
WASTWP-P,1220,990,3,0.8115000000000001
WASTWP-Q,1354,970,4,0.7164
WASTWP-R,877,711,1,0.8107
WASTWP-S,895,742,2,0.8291
WASTWP-T,1004,740,2,0.7371
WASTWP-U,1044,879,2,0.8420000000000001
WASTWP-V,1003,840,1,0.8375
WASTWP-W,825,595,2,0.7212000000000001
WASTWP-X,867,709,2,0.8178
WASTWP-Y,1376,1108,8,0.8051999999999999
WASTWP-Z,892,760,0,0.852
WASTWP-AA,989,828,1,0.8371999999999999
WASTWP-BB,793,624,1,0.7868999999999999
WASTWP-CC,1226,1028,7,0.8384999999999999
WCR-A,1047,703,6,0.6714
WCR-B,1000,736,1,0.736
WCR-C,1007,754,3,0.7487999999999999
WCR-D,913,736,1,0.8061
WCR-E,851,480,1,0.564
WCR-F,909,571,3,0.6282
WCR-G,978,755,1,0.772
WCR-H,996,717,7,0.7199
WCR-I,973,519,5,0.5334
