precinct_code,Tim O'Connell,Total Votes Cast,Overvotes,Undervotes,Contest Total,Kim Melnick
DAY 11-C,256,207,0,226,433,207
DAY 11-D,308,282,0,312,594,282
DAY 11-E,229,205,0,260,465,205
DAY 12-A,378,322,0,369,691,322
DAY 12-B,216,158,0,300,458,158
DAY 12-C,298,276,0,255,531,276
DAY 12-D,203,170,0,235,405,170
DAY 13-A,253,143,0,283,426,143
DAY 13-B,142,107,0,160,267,107
DAY 14-A,328,209,0,305,514,209
DAY 14-B,127,80,0,125,205,80
DAY 14-C,162,94,0,208,302,94
DAY 14-D,352,222,0,337,559,222
DAY 15-A,281,185,0,288,473,185
DAY 15-B,312,207,0,329,536,207
DAY 15-C,217,116,0,263,379,116
DAY 15-D,253,159,0,289,448,159
DAY 16-A,258,173,0,281,454,173
DAY 16-B,214,143,0,207,350,143
DAY 16-C,233,146,0,253,399,146
DAY 16-D,453,281,0,471,752,281
DAY 16-E,278,164,0,287,451,164
DAY 17-A,192,142,0,205,347,142
DAY 17-B,244,196,0,270,466,196
DAY 17-C,281,225,0,270,495,225
DAY 17-D,178,130,0,183,313,130
DAY 18-A,198,134,0,203,337,134
DAY 18-B,344,246,0,325,571,246
DAY 18-C,223,163,0,252,415,163
